Company,File No.,Opened,Closed,Coverage,SubCoverage,Reason,SubReason,Disposition,Conclusion,Recovery,Status
Transamerica Life Insurance Company,803396,07/24/2018,08/06/2018,Credit A & H,No SubCov - AH,Unfair Claims Practice,Claim Delays,Company Position Upheld,Unjustified,0.00,Closed
21st Century Insurance Company,505848,12/31/2015,01/25/2016,Auto,,Marketing/Sales,Producer Handling,Company Position Upheld,Unjustified,0.00,Closed
21st Century Insurance Company,601543,04/01/2016,08/12/2016,Auto,,Underwriting,Cancellation,Insufficient Information,No Action Necessary,0.00,Closed
"Anthem Health Plans, Inc",805400,11/15/2018,12/05/2018,,,Utilization Review,Time Delay,Insufficient Information,No Action Necessary,0.00,Closed
Allstate Fire and Casualty Insurance Company,803285,07/18/2018,08/06/2018,Auto,,Premium and Rating,Premium Refund Delay,Corrective Action,Justified,95.59,Closed
Metropolitan Group Property and Casualty Insurance Company,804555,09/25/2018,12/05/2018,Auto Liability,,Unfair Claims Practice,Claim Procedure,Corrective Action,Justified,870.91,Closed
Standard Fire Insurance Company (The),803122,07/06/2018,08/06/2018,Auto,,Marketing/Sales,Producer Handling,Corrective Action,Questionable,0.00,Closed
Liberty Insurance Corporation,803184,07/11/2018,08/06/2018,,,Premium and Rating,Premium Refund Delay,Corrective Action,Justified,924.00,Closed
"Anthem Health Plans, Inc",802871,06/21/2018,08/06/2018,Group Health,Emergency,Unfair Claims Practice,Unsatisfactory Settlement,Contract Provision,Furnished Information,0.00,Closed
Prudential Insurance Company of America,803242,07/16/2018,08/06/2018,Group Long Term Care,No SubCov - AH,Premium and Rating,Premium/Rate Increase,Furnished Information,Furnished Information,0.00,Closed
"Anthem Health Plans, Inc",803309,07/19/2018,08/06/2018,A & H,Out-Patient,Unfair Claims Practice,Denial of Claim,Contract Provision,Furnished Information,0.00,Closed
Century-National Insurance Company,900697,02/13/2019,02/27/2019,Auto Liability,,Unfair Claims Practice,Comparative Negligence,Refer-Judicial/Attorney,Unjustified,0.00,Closed
Time Insurance Company II,604100,09/01/2016,10/03/2016,Individual Health,Out-Patient,Unfair Claims Practice,Claim Procedure,Furnished Information,Furnished Information,0.00,Closed
AIG Property Casualty Company,803323,07/19/2018,08/06/2018,Homeowners,,Unfair Claims Practice,Claim Delays,Company Position Upheld,Unjustified,0.00,Closed
State Automobile Mutual Insurance Company,805485,11/21/2018,12/05/2018,,,Unfair Claims Practice,Unsatisfactory Offer,Claim Settled,Unjustified,0.00,Closed
21st Century North America Insurance Company,405995,12/08/2014,01/21/2015,Auto,,Underwriting,Other [Enter Sub-Reason],Furnished Information,Unjustified,0.00,Closed
21st Century North America Insurance Company,500088,01/09/2015,01/30/2015,Auto,,Underwriting,Non-Renewal,Company Position Upheld,Unjustified,0.00,Closed
21st Century North America Insurance Company,501537,04/02/2015,04/07/2015,Homeowners,,Underwriting,Non-Renewal,Non-Renewal Upheld,Unjustified,0.00,Closed
21st Century North America Insurance Company,503133,07/08/2015,08/06/2015,Auto Physical Damage,,Unfair Claims Practice,Claim Procedure,Company Position Upheld,Unjustified,0.00,Closed
21st Century North America Insurance Company,503244,07/14/2015,08/10/2015,Auto Liability,,Unfair Claims Practice,Unsatisfactory Settlement,Company Position Upheld,Unjustified,0.00,Closed
21st Century North America Insurance Company,504062,09/01/2015,09/14/2015,Auto,,Premium and Rating,Excessive Charges,Company Position Upheld,Unjustified,0.00,Closed
21st Century North America Insurance Company,504530,10/01/2015,11/24/2015,Auto,,Underwriting,Cancellation,Company Position Upheld,Unjustified,0.00,Closed
21st Century North America Insurance Company,504791,10/19/2015,11/04/2015,Auto Liability,,Unfair Claims Practice,Claim Procedure,Company Position Upheld,Unjustified,0.00,Closed
21st Century North America Insurance Company,505396,11/30/2015,12/10/2015,Auto,,Premium and Rating,Excessive Charges,Company Position Upheld,Unjustified,0.00,Closed
21st Century North America Insurance Company,505396,11/30/2015,12/10/2015,Auto,,Underwriting,Non-Renewal,Non-Renewal Upheld,Unjustified,0.00,Closed
21st Century North America Insurance Company,505530,12/08/2015,01/26/2016,Auto,,Underwriting,Cancellation,Cancellation Upheld,Unjustified,0.00,Closed
Liberty Mutual Fire Insurance Company,800966,02/26/2018,03/12/2018,Auto Uninsured Motorist,,Unfair Claims Practice,Claim Delays,Company Position Upheld,Unjustified,0.00,Closed
21st Century North America Insurance Company,600004,01/04/2016,01/13/2016,Auto Medical Payment,,Unfair Claims Practice,Denial of Claim,Company Position Upheld,Unjustified,0.00,Closed
21st Century North America Insurance Company,603653,08/08/2016,09/07/2016,Auto Physical Damage,,Unfair Claims Practice,Claim Delays,Refer To Appraisal,Unjustified,0.00,Closed
21st Century North America Insurance Company,603653,08/08/2016,09/07/2016,Auto Physical Damage,,Unfair Claims Practice,Unsatisfactory Offer,Refer To Appraisal,Unjustified,0.00,Closed
21st Century North America Insurance Company,604954,10/28/2016,11/03/2016,Auto,,Underwriting,Non-Renewal,Non-Renewal Upheld,Unjustified,0.00,Closed
21st Century North America Insurance Company,701892,04/21/2017,05/02/2017,Auto,,Underwriting,Non-Renewal,Non-Renewal Upheld,Unjustified,0.00,Closed
21st Century Premier Insurance Company,602494,06/01/2016,07/05/2016,Auto,,Premium and Rating,Premium Refund Delay,Premium Refund,Unjustified,0.00,Closed
5 Star Life Insurance Company,701509,03/28/2017,04/19/2017,Group Life,Term Life,Unfair Claims Practice,Claim Delays,Company Position Upheld,Unjustified,0.00,Closed
AAA Life Insurance Company,605305,11/18/2016,11/29/2016,Group Life,Other,Unfair Claims Practice,Claim Procedure,Claim Settled,Unjustified,0.00,Closed
ACA Assurance Company,406101,12/12/2014,01/05/2015,Homeowners,,Underwriting,Non-Renewal,Furnished Information,No Authority,0.00,Closed
ACA Assurance Company,500078,01/08/2015,01/08/2015,Homeowners,,Premium and Rating,Excessive Charges,Furnished Information,No Authority,0.00,Closed
ACA Assurance Company,502739,06/11/2015,08/04/2015,Homeowners,,Premium and Rating,Excessive Charges,Furnished Information,Furnished Information,0.00,Closed
ACA Assurance Company,502739,06/11/2015,08/04/2015,Homeowners,,Underwriting,Non-Renewal,Furnished Information,Furnished Information,0.00,Closed
Acadia Insurance Company,406131,12/16/2014,01/26/2015,Commercial Multi-Peril,,Unfair Claims Practice,Denial of Claim,Company Position Upheld,Unjustified,0.00,Closed
Acadia Insurance Company,503182,07/10/2015,09/15/2015,Auto Physical Damage,,Unfair Claims Practice,Unsatisfactory Settlement,Claim Settled,Unjustified,0.00,Closed
Acadia Insurance Company,504122,09/04/2015,09/25/2015,Homeowners,,Underwriting,Underwriting Delays,Company Position Upheld,Unjustified,0.00,Closed
Acadia Insurance Company,504331,09/18/2015,10/06/2015,Commercial Multi-Peril,,Unfair Claims Practice,Unsatisfactory Offer,Claim Settled,Justified,0.00,Closed
Acadia Insurance Company,504599,10/06/2015,11/10/2015,Homeowners,,Unfair Claims Practice,Denial of Claim,Contract Provision,Unjustified,0.00,Closed
Stillwater Insurance Company,804703,10/04/2018,12/05/2018,Auto Physical Damage,,Unfair Claims Practice,Denial of Claim,Contract Provision,Unjustified,0.00,Closed
Acadia Insurance Company,701035,03/02/2017,03/10/2017,Commercial Multi-Peril,,Underwriting,Non-Renewal,Non-Renewal Rescinded,Unjustified,0.00,Closed
GEICO General Insurance Company,801258,03/15/2018,04/02/2018,Auto Physical Damage,,Unfair Claims Practice,Claim Delays,Company Position Upheld,Unjustified,0.00,Closed
Acceptance Indemnity Insurance Company,501541,04/02/2015,05/18/2015,Commercial Fire,,Marketing/Sales,Policy Service Delay,Corrective Action,Questionable,0.00,Closed
State Farm Fire & Casualty Company,801265,03/15/2018,04/02/2018,Homeowners,,Premium and Rating,Premium/Notice,Company Position Upheld,Unjustified,0.00,Closed
Acceptance Insurance Company,700431,01/25/2017,02/16/2017,Auto Liability,,Unfair Claims Practice,Claim Delays,Claim Settled,Justified,5935.46,Closed
Accordia Life and Annuity Company,503823,08/19/2015,09/15/2015,Individual Life,Universal Life,Marketing/Sales,Policy Service Delay,Company Position Upheld,Unjustified,0.00,Closed
Accordia Life and Annuity Company,600681,02/17/2016,03/08/2016,Individual Life,Universal Life,Marketing/Sales,Policy Service Delay,Corrective Action,Unjustified,0.00,Closed
Accordia Life and Annuity Company,600796,02/22/2016,03/04/2016,Individual Life,Universal Life,Marketing/Sales,Policy Service Delay,Corrective Action,Unjustified,0.00,Closed
Accordia Life and Annuity Company,601628,04/06/2016,04/27/2016,Individual Life,Universal Life,Marketing/Sales,Policy Service Delay,Corrective Action,Unjustified,0.00,Closed
Accordia Life and Annuity Company,601671,04/11/2016,05/02/2016,Individual Life,Universal Life,Marketing/Sales,Policy Service Delay,Corrective Action,Unjustified,0.00,Closed
Accordia Life and Annuity Company,601984,04/27/2016,05/10/2016,Individual Life,Universal Life,Marketing/Sales,Policy Service,Corrective Action,Unjustified,0.00,Closed
UnitedHealthcare Insurance Company,805643,12/04/2018,12/05/2018,Group Health,No SubCov - AH,Unfair Claims Practice,Claim Procedure,Complaint Withdrawn,No Action Necessary,0.00,Closed
Accordia Life and Annuity Company,602343,05/23/2016,06/08/2016,Individual Life,Universal Life,Marketing/Sales,Policy Service Delay,Corrective Action,Unjustified,0.00,Closed
Accordia Life and Annuity Company,700772,02/16/2017,03/10/2017,Individual Life,Universal Life,Marketing/Sales,Policy Service Delay,Corrective Action,Justified,0.00,Closed
Accordia Life and Annuity Company,700774,02/16/2017,03/10/2017,Individual Life,Universal Life,Marketing/Sales,Policy Service Delay,Corrective Action,Justified,0.00,Closed
Accordia Life and Annuity Company,700784,02/16/2017,03/10/2017,Individual Life,Other,Marketing/Sales,Policy Service Delay,Corrective Action,Justified,0.00,Closed
Time Insurance Company II,602515,06/02/2016,06/21/2016,,,Utilization Review,Medical Necessity,External Review Info Sent,Furnished Information,0.00,Closed
Accordia Life and Annuity Company,702192,05/10/2017,05/24/2017,Individual Life,Term Life,Premium and Rating,Premium/Notice,Corrective Action,Justified,0.00,Closed
Accordia Life and Annuity Company,702600,06/05/2017,06/21/2017,Individual Life,Universal Life,Marketing/Sales,Policy Service,Corrective Action,Justified,0.00,Closed
Accordia Life and Annuity Company,703239,07/17/2017,08/03/2017,Individual Life,Term Life,Premium and Rating,Premium Refund Delay,Corrective Action,Justified,1272.60,Closed
ConnectiCare Inc,804381,09/17/2018,10/03/2018,,,Utilization Review,Medical Necessity,External Review Info Sent,Furnished Information,0.00,Closed
"Anthem Health Plans, Inc",802630,06/06/2018,08/06/2018,,,Unfair Claims Practice,Denial of Claim,Company Position Upheld,Furnished Information,0.00,Closed
Nationwide Mutual Fire Insurance Company,803331,07/19/2018,08/06/2018,,,Unfair Claims Practice,Unsatisfactory Settlement,Company Position Upheld,Unjustified,0.00,Closed
UnitedHealthcare Insurance Company,803512,07/30/2018,08/06/2018,Group Health,No SubCov - AH,Unfair Claims Practice,Coordination of Benefit,Corrective Action,Furnished Information,153.00,Closed
"Anthem Health Plans, Inc",805400,11/15/2018,12/05/2018,Group Health,Behavl Hlth/Subst Abuse,Utilization Review,Time Delay,Insufficient Information,No Action Necessary,0.00,Closed
ACE American Insurance Company,405961,12/03/2014,01/12/2015,Commercial Multi-Peril,,Unfair Claims Practice,Unsatisfactory Offer,Company Position Upheld,Unjustified,0.00,Closed
ACE American Insurance Company,502072,05/04/2015,06/11/2015,Ocean Marine,,Unfair Claims Practice,Denial of Claim,Contract Provision,Unjustified,0.00,Closed
ACE American Insurance Company,601804,04/18/2016,05/13/2016,Travel Insurance,,Unfair Claims Practice,Unsatisfactory Settlement,Company Position Upheld,Unjustified,0.00,Closed
ACE American Insurance Company,602996,06/29/2016,08/08/2016,Auto Liability,,Unfair Claims Practice,Claim Delays,Claim Settled,Unjustified,0.00,Closed
ACE American Insurance Company,603406,07/25/2016,08/23/2016,General Liability,,Unfair Claims Practice,Denial of Claim,Company Position Upheld,Unjustified,0.00,Closed
ACE American Insurance Company,701097,03/06/2017,03/17/2017,Auto Liability,,Unfair Claims Practice,Claim Delays,Claim Settled,Justified,960.34,Closed
"ConnectiCare Insurance Company, Inc",803119,07/06/2018,08/06/2018,Individual Health,Emergency,Unfair Claims Practice,Unsatisfactory Settlement,Contract Provision,Furnished Information,0.00,Closed
"Oxford Health Plans (CT), Inc",803297,07/18/2018,08/06/2018,Group Health,Prescription,Utilization Review,Medical Necessity,External Review Info Sent,Furnished Information,0.00,Closed
ACE Property & Casualty Insurance Company,504651,10/08/2015,11/03/2015,Auto Liability,,Unfair Claims Practice,Claim Delays,Claim Settled,Unjustified,0.00,Closed
